"proposition","source"
"La culture pour tous. → 	 Dédier 1% du budget de l’État à la Culture.","http://avecjadot.fr/lafrancevive/culture-1-budget-de-letat-dedie-a-culture/"
"Créer un ministère de la Transformation numérique dépendant du Premier ministre pour impulser et garantir la transversalité de la mutation à conduire, de l’école à l’entreprise, de la culture aux services publics ; garantir la neutralité des réseaux.","http://avecjadot.fr/lafrancevive/ministere-garantir-transversalite-de-mutation-digitale-neutralite-reseaux/"
"Lutter contre la précarité et favoriser l’autonomie. → 	 Généraliser l’encadrement des loyers dans les zones tendues. → 	 Instaurer la garantie universelle des loyers.","http://avecjadot.fr/lafrancevive/lutter-contre-precarite-encadrement-loyers-garantie-universelle-loyers/"
"Remplacer la stratégie de dissuasion nucléaire par un sanctuaire européen « dénucléarisé », et oeuvrer à une diplomatie active en faveur du désarmement nucléaire. → De manière à créer cette dynamique, renoncer de manière unilatérale aux composantes aériennes de la force de dissuasion nucléaire. → Affecter l’économie ainsi réalisée à la remise à niveau des moyens des forces conventionnelles.","http://avecjadot.fr/lafrancevive/renoncer-a-force-de-dissuasion-nucleaire-faire-sanctuaire-europeen-denuclearise/"
"Lutter contre le gaspillage et éradiquer les passoires énergétiques. →      Aller vers 750 000 logements par an rénovés d’ici la fin du quinquennat, en donnant la priorité aux ménages victimes de précarité énergétique.","http://avecjadot.fr/lafrancevive/renovation-thermique-de-750-000-logements-an-donnant-priorite-aux-menages-precaires/"
"Stopper l’évasion et construire l’harmonisation fiscale, garantir la transparence et imposer le reporting pays par pays pour lutter contre l’évasion fiscale, et que chaque entreprise paie des impôts là où elle gagne de l’argent.","http://avecjadot.fr/lafrancevive/garantir-justice-fiscale-transparence-fin-de-levasion-harmoniser-fiscalite-europeenne/"
"Adopter le 1% budget participatif.","http://avecjadot.fr/lafrancevive/1-budget-de-letat-consacre-aux-projets-choisis-citoyens-via-plateformes-civic-tech/"
"Inscrire les usages du numérique dans l’ensemble du parcours scolaire, de la maternelle aux études supérieures.","http://avecjadot.fr/lafrancevive/inscrire-usages-numerique-lensemble-parcours-scolaire-de-maternelle-superieur/"
"Stopper les négociations des accords de libre-échange, dont le TAFTA, et la ratification du CETA.","http://avecjadot.fr/lafrancevive/stopper-negociations-accords-de-libre-echange-dont-tafta-ratification-ceta/"
"Revaloriser le SMIC à 1800 euros bruts dans la mandature.","http://avecjadot.fr/lafrancevive/revaloriser-smic-a-1800-euros-bruts-mandature/"
"Interdire en 5 ans sur le marché européen les produits issus de pays ne respectant pas la liberté syndicale et taxer ceux provenant de pays s’exonérant de la lutte contre le dérèglement climatique.","http://avecjadot.fr/lafrancevive/sanctionner-commerce-pays-ne-respectant-liberte-syndicale-lenvironnement/"
"Lutter contre la souffrance animale. → 	 Interdire l’élevage industriel de type « 1000 vaches ». → 	 Mettre en application les 65 préconisations avancées par le rapport de la commission d’enquête sur les conditions d’abattage.","http://avecjadot.fr/lafrancevive/interdire-lelevage-intensif-industriel-suivre-directives-de-commission-denquete-abattage/"
"Aller vers une défense européenne commune.","http://avecjadot.fr/lafrancevive/aller-vers-defense-europeenne-commune/"
"Envoyer chaque année 1 million de jeunes en emploi ou en formation dans un autre pays de l’Union européenne.","http://avecjadot.fr/lafrancevive/1-million-de-jeunes-an-emploi-formation-pays-de-lunion/"
"Faire évoluer le mandat et la composition du Conseil économique, social et environnemental pour en faire une troisième chambre, aux côtés de l’Assemblée nationale et du Sénat, qui aurait un droit de veto suspensif sur toute mesure législative qui mettrait en cause le long terme.","http://avecjadot.fr/lafrancevive/425/"
"L’égalité doit primer sur l’identité, la citoyenneté sur la nationalité. → Mettre en place le récépissé pour éviter le contrôle au faciès. → Instaurer le droit de vote des étrangers aux élections locales.","http://avecjadot.fr/lafrancevive/legalite-prime-lidentite-recepisse-lors-controles-facies-droit-de-vote-etrangers/"
"Renforcer la lutte contre l’évasion fiscale. → Renforcer le droit de la société civile de saisir le parquet national financier pour les cas d’évasions fiscales. → Agir pour le contrôle de la taille des banques et pour la pénalisation les paradis fiscaux.","http://avecjadot.fr/lafrancevive/lutte-contre-levasion-fiscale-plus-de-pouvoir-a-societe-civile-penaliser-paradis-fiscaux/"
"Favoriser l’économie circulaire et lutter contre l’obsolescence programmée des produits. →      5 ans de garantie minimale pour l’électroménager et les voitures. →      Moduler la TVA selon l’éco-conception, la réparabilité, la réutilisation et le recyclage d’un produit. →      Créer un Crédit d’impôt réparation permettant de rembourser 50% des frais de main d’oeuvre. →      Créer une filière de déconstruction des navires en fin de vie et de traitement des déchets électroniques.","http://avecjadot.fr/lafrancevive/consommer-mieux-credit-impot-reparation-garanties-plus-longues-eco-conception/"
"Nommer un vice-Premier ministre au Développement durable pour garantir la prise en compte transversale des enjeux écologiques.","http://avecjadot.fr/lafrancevive/nommer-vice-premier-ministre-developpement-durable-prise-compte-de-lecologie/"
"Développer l’économie sociale et solidaire. → Accroître l’ouverture des marchés publics aux entreprises agréées Entreprise Solidaire d’Utilité Sociale.","http://avecjadot.fr/lafrancevive/accroitre-louverture-marches-publics-aux-entreprises-de-leconomie-sociale-solidaire/"
"Remplacer obligatoirement les enseignants après 3 jours d’absence.","http://avecjadot.fr/lafrancevive/remplacement-obligatoire-enseignants-apres-3-jours-dabsence/"
"Adopter une loi de sortie progressive et définitive du nucléaire d’ici 2035, arrêter les premiers réacteurs dès 2017.","http://avecjadot.fr/lafrancevive/sortir-progressivement-nucleaire-dici-2035-arretant-premiers-reacteurs-2017/"
"Faire de l’immobilier universitaire un levier de la transition écologique par le développement d’éco-campus. → 	 Plan général de rénovation du bâti universitaire avec 70 000 rénovations et 50 000 nouvelles chambres éco- conçues, alimentation bio et locale dans les cantines, centres de santé, etc.","http://avecjadot.fr/lafrancevive/eco-campus-leviers-de-transition-ecologique-eco-conception-cantines-bio-etc/"
"Développer la fiscalité écologique. → En finir avec les niches fiscales nuisibles à l’environnement et la santé (13 milliards d’euros par an), dont la niche diesel. → Affecter la moitié des dépenses économisées à une prime de conversion automobile pour les ménages les plus vulnérables.","http://avecjadot.fr/lafrancevive/fin-niches-fiscales-nuisibles-a-lenvironnement-economiser-13-milliards-an/"
"Orienter l’épargne vers le capital-risque des entreprises innovantes, ancrées dans la transition écologique et numérique.","http://avecjadot.fr/lafrancevive/orienter-lepargne-vers-capital-risque-entreprises-de-transition-ecologique-numerique/"
"Réformer le Conseil de sécurité des Nations unies. → Supprimer le droit de veto. → Faire du siège de la France le siège unique de l’Union européenne.","http://avecjadot.fr/lafrancevive/suppression-droit-de-veto-aux-nations-unies-siege-unique-lunion-europeenne/"
"Faire de la santé une priorité nationale. → 	 Réorienter notre système de santé vers la prévention et la proximité, lutter en amont contre les maladies chroniques, réaffirmer la primauté de la sécurité sociale vis-à-vis des complémentaires. → 	 En finir avec les déserts médicaux, en soutenant l’installation des médecins dans des maisons de santé adossées à des unités de base des premiers soins. → 	 Renforcer le service public de la psychiatrie.","http://avecjadot.fr/lafrancevive/sante-priorite-nationale-favoriser-prevention-lutter-contre-deserts-medicaux-2/"
"Lutter contre le décrochage et l’échec scolaire. → 	 Offrir des moyens supplémentaires, comme le travail en plus petit effectif, aux élèves qui en ont le plus besoin pour leur réussite.","http://avecjadot.fr/lafrancevive/offrir-moyens-supplementaires-lutter-contre-decrochage-lechec-scolaire/"
"Développer les réseaux de transports du quotidien. → 	 Engager une révision complète du schéma national des infrastructures. → 	 Abandonner les grands projets inutiles : nouvelles lignes à grande vitesse, tunnel Lyon-Turin, aéroport de Notre-Dame-des-Landes, Grand Contournement Ouest de Strasbourg, etc. → 	 Restaurer la taxe poids lourds pour donner l’absolue priorité aux trajets domicile-travail et domicile-vie quotidienne.","http://avecjadot.fr/lafrancevive/financer-nos-transports-quotidien-taxe-poids-lourds-abandon-grands-projets-inutiles/"
"Adopter une loi cadre sur les violence faites aux femmes, intégrant notamment une révision du délai de prescription.","http://avecjadot.fr/lafrancevive/loi-cadre-violences-aux-femmes-integrant-revision-delai-de-prescription/"
"Mettre véritablement en œuvre la Taxe sur les Transactions Financières.","http://avecjadot.fr/lafrancevive/mettre-veritablement-oeuvre-taxe-transactions-financieres/"
"Adopter le 3 fois 1% redistributif citoyen. → 1% des bénéfices de l’agroalimentaire pour financer des projets citoyens d’alimentation de qualité relocalisée. → 1% des bénéfices des promoteurs immobiliers pour financer les actions citoyennes en matière d’urbanisme. → 1% des bénéfices du secteur de la publicité pour financer des médias citoyens.","http://avecjadot.fr/lafrancevive/3-1-redistributif-citoyen-1-benefices-de-secteurs-cibles-dedies-a-projets-citoyens/"
"Assurer notre sécurité. → Développer une police de proximité pour assurer une présence physique partout, au contact des citoyennes et citoyens. → Renforcer les moyens de la justice afin de lui permettre d’assurer plus rapidement la justice du quotidien : un cas est jugé en 19 jours au Danemark, contre 304 jours en France. → Créer un parquet et un FBI européens afin de lutter de manière plus efficace contre le terrorisme. → Légaliser le cannabis –monopole d’état pour lutter contre le trafic et faciliter une politique de santé.","http://avecjadot.fr/lafrancevive/securiser-populations-renforcant-justice-legalisant-cannabis-creant-fbi-europeen/"
"Favoriser l’appropriation citoyenne locale de la transition énergétique. →      1 projet de production d’énergies renouvelables par quartier ou commune rurale. →      Les projets de propriété collective seront accompagnés par des opérateurs coopératifs certifiés et rémunérés par l’État qui garantira les emprunts. →      25% des parts sociales des projets d’énergies renouvelables devront être proposées aux citoyens locaux.","http://avecjadot.fr/lafrancevive/se-reapproprier-energie-projet-denergie-renouvelable-quartier-commune-rurale-2/"
"Faire élire en 2019 une assemblée constituante dont le travail se fonde sur des conventions citoyennes régionales et nationales.","http://avecjadot.fr/lafrancevive/election-2019-dune-assemblee-constituante-a-partir-de-conventions-citoyennes/"
"Les objectifs en matière d’énergies renouvelables seront respectés pour 2020 (23% du mix énergétique) et rehaussés à 40% pour 2030. Le cadre administratif et législatif sera simplifié et stabilisé. Les objectifs de réduction des gaz à effet de serre seront portés à 30% pour 2020 et au moins 50% pour 2030 par rapport à 1990 afin de mettre en œuvre l’Accord de Paris sur le climat.","http://avecjadot.fr/lafrancevive/revoir-a-hausse-nos-objectifs-matiere-denergies-renouvelables-de-gaz-a-effet-de-serre/"
"Pérenniser le système de protection des intermittents, et créer un fonds de protection pour les artistes plasticiens.","http://avecjadot.fr/lafrancevive/perenniser-protection-intermittents-creer-fonds-artistes-plasticiens/"
"Aller vers une France zéro déchet en divisant par 2 notre production de déchets par habitant à l’horizon 2030. →      Mettre en place un plan national de lutte contre le gaspillage alimentaire dans les cantines. →      Rendre obligatoire la redistribution des invendus de la grande distribution vers les associations de solidarité, et l’élevage pour les déchets très périmés. →      Valoriser énergétiquement les fermentescibles en généralisant la méthanisation. →      Développer le compostage collectif dans les zones d’habitat dense. →      Introduire un critère « zéro déchet » dans les marchés publics.","http://avecjadot.fr/lafrancevive/2-de-dechets-2030-distribution-invendus-valorisation-compostage/"
"Renforcer le droit de mourir dans la dignité et à choisir sa fin de vie.","http://avecjadot.fr/lafrancevive/renforcement-droit-de-mourir-dignite-a-choisir-fin-de-vie/"
"Créer un label valorisant la pêche artisanale française pour les consommateurs, renforcer la lutte contre la pêche illégale, en particulier dans les zones ultra-marines.","http://avecjadot.fr/lafrancevive/valoriser-peche-artisanale-francaise-label-renforcer-lutte-contre-peche-illegale/"
"Assurer à tou-te-s un revenu d’existence. → 	 Expérimenter un revenu de base dont les conditions seront définies lors d’une conférence de consensus suivie d’un débat national. Cette question n’est pas celle des minima sociaux, il faut changer la place du travail et reconnaître l’utilité sociale de chacune et de chacun.","http://avecjadot.fr/lafrancevive/assurer-a-revenu-dexistence-defini-conference-de-consensus-debat-national/"
"Renforcer la lutte contre les discriminations liées à l’identité de genre et à l’orientation sexuelle. → Renforcer la sensibilisation contre l’homophobie, la lesbophobie, la biphobie et la transphobie. → Former et informer les personnels de la fonction publique à l’accueil des personnes LGBT. → Permettre le changement d’état civil libre, gratuit, déclaratif et basé sur l’autodétermination pour les personnes trans.","http://avecjadot.fr/lafrancevive/renforce-la-lutter-contre-discriminations-liees-a-l-identite-de-genre/"
"Inscrire dans la loi la co-gestion des entreprises. → Faire siéger 50% de salariés dans les Conseils d’Administration.","http://avecjadot.fr/lafrancevive/faire-salaries-decideurs-50-de-salaries-conseils-dadministration/"
"Adopter un plan d’investissement de 600 milliards d’euros par an, financé par la Banque européenne d’investissement et les banques nationales d’investissement, garanti ou racheté par la Banque centrale européenne, avec 4 priorités. → La transition énergétique. → Le numérique. → Les infrastructures de transport du quotidien. → La santé.","http://avecjadot.fr/lafrancevive/adopter-plan-dinvestissement-de-600-milliards-deuros-an-lancer-transition/"
"Reconnaître toutes les familles. → 	 Ouvrir la PMA à toutes les femmes.","http://avecjadot.fr/lafrancevive/reconnaitre-toutes-familles-ouvrir-pma-a-toutes-femmes/"
"Afficher pour chaque service public la part payée par la collectivité.","http://avecjadot.fr/lafrancevive/afficher-service-public-part-payee-collectivite/"
"Renforcer les services publics et les adapter aux nouveaux besoins, notamment ceux de nos aîné-es de plus en plus nombreux.","http://avecjadot.fr/lafrancevive/renforcer-services-publics-adapter-aux-nouveaux-besoins-notamment-de-nos-aine-e-s/"
"Baser prioritairement le programme de rénovation thermique du bâti sur les PME et l’artisanat local.","http://avecjadot.fr/lafrancevive/baser-prioritairement-programme-de-renovation-thermique-bati-pme-lartisanat-local/"
"Garantir une alimentation saine. → Approvisionner 100% des cantines publiques et privées par l’agriculture paysanne ou biologique : écoles, hôpitaux, entreprises, etc. → Affecter 50% des fonds de la PAC pour financer la conversion des exploitations et la structuration des filières.","http://avecjadot.fr/lafrancevive/alimentation-saine-financer-conversion-vers-lagriculture-bio-100-de-bio-a-cantine/"
"Garantir à tou-te-s une protection sociale équivalente : l’accès à la retraite, au chômage, à la formation et d’une manière générale à la protection sociale des travailleurs indépendants et des auto-entrepreneurs sera assuré.","http://avecjadot.fr/lafrancevive/protection-sociale-assuree-acces-a-retraite-chomage-a-formation/"
"Prendre l’initiative d’une conférence internationale dont l’objectif sera de sanctuariser l’Arctique.","http://avecjadot.fr/lafrancevive/conference-internationale-de-sanctuarisation-de-larctique-2/"
"Négocier des contrats territoriaux de transition écologique de 10 ans entre les collectivités locales, l’État, les entreprises, les syndicats et les organisations de la société civile pour anticiper et favoriser les conversions économiques et industrielles. → Accompagner et former les salariés : aucun travailleur abandonné sur le bord de la route.","http://avecjadot.fr/lafrancevive/contrats-territoriaux-de-transition-ecologique-accompagner-conversion-de-economie/"
